Eh	I	EH
:	Fw	:
me	Pp	JE
voilà	S	VOILÀ
très-affligée	Nc	très-affligée
;	Fw	;
si	Cs	SI
vous	Pp	VOUS
ne	Rp	NE
me	Pp	JE
dites	Vvc	DIRE
point	Rg	POINT
la	Da	LE
cause	Nc	CAUSE
de	S	DE
ces	Dd	CE
alarmes	Nc	ALARME
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
rien	Pi	RIEN
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
une	Dn	UN
misère	Nc	MISÈRE
,	Fw	,
qui	Pr	QUI
ne	Rp	NE
mérite	Vvc	MÉRITER
pas	Rg	PAS
que	Cs	QUE
vous	Pp	VOUS
y	Pp	Y
preniez	Vvc	PRENDRE
garde	Nc	GARDE
.	Fs	.
Il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
,	Fw	,
a	Vuc	AVOIR
quelques	Di	QUELQUE
lieues	Nc	LIEUE
de	S	DE
ce	Dd	CE
village	Nc	VILLAGE
,	Fw	,
une	Dn	UN
forêt	Nc	FORÊT
que	Pr	QUE
j'	Pp	JE
ai	Vuc	AVOIR
voulu	Ge	VOULOIR
traverser	Vvn	TRAVERSER
la	Da	LE
nuit	Nc	NUIT
,	Fw	,
pour	S	POUR
arriver	Vvn	ARRIVER
plutôt	Rg	PLUTÔT
dans	S	DANS
l'	Da	LE
asile	Nc	ASILE
que	Pr	QUE
devait	Vvc	DEVOIR
embellir	Vvn	EMBELLIR
votre	Ds	VOTRE
présence	Nc	PRÉSENCE
.	Fs	.
Cette	Dd	CE
forêt	Nc	FORÊT
n'	Rp	NE
était	Vuc	ÊTRE
pas	Rg	PAS
sûre	Ag	SÛR
,	Fw	,
on	Pp	ON
n'	Rp	NE
avait	Vuc	AVOIR
pas	Rg	PAS
marqué	Ge	MARQUER
de	S	DE
me	Pp	JE
le	Pp	IL
dire	Vvn	DIRE
:	Fw	:
Moron	Nc	Moron
lui-même	Pp	LUI-MÊME
était	Vuc	ÊTRE
d'	S	DE
avis	Nc	AVIS
que	Pr	QUE
je	Pp	JE
prisse	Vvc	PRENDRE
une	Dn	UN
autre	Ag	AUTRE
route	Nc	ROUTE
.	Fs	.
Nulle	Di	NUL
considération	Nc	CONSIDÉRATION
,	Fw	,
nul	Di	NUL
conseil	Nc	CONSEIL
,	Fw	,
n'	Rp	NE
a	Vuc	AVOIR
tenu	Ge	TENIR
contre	S	CONTRE
mon	Ds	MON
impatience	Nc	IMPATIENCE
.	Fs	.
J'	Pp	JE
ai	Vuc	AVOIR
choisi	Ge	CHOISIR
le	Da	LE
chemin	Nc	CHEMIN
de	S	DE
la	Da	LE
forêt	Nc	FORÊT
,	Fw	,
comme	Cs	COMME
le	Da	LE
plus	Rg	PLUS
court	Ag	COURT
,	Fw	,
et	Cc	ET
j'	Pp	JE
ai	Vuc	AVOIR
vu	Ge	VOIR
bientôt	Rg	BIENTÔT
qu'	Cs	QUE
il	Pp	IL
était	Vuc	ÊTRE
le	Da	LE
plus	Rg	PLUS
dangereux	Ag	DANGEREUX
:	Fw	:
plusieurs	Di	PLUSIEURS
raisons	Nc	RAISON
que	Pr	QUE
je	Pp	JE
vous	Pp	VOUS
dirai	Vvc	DIRE
,	Fw	,
m'	Pp	JE
obligeaient	Vvc	OBLIGER
de	S	DE
voyager	Vvn	VOYAGER
sans	S	SANS
cortège	Nc	CORTÈGE
,	Fw	,
je	Pp	JE
n'	Rp	NE
avais	Vuc	AVOIR
qu'	Rg	QUE
un	Dn	UN
postillon	Nc	POSTILLON
,	Fw	,
et	Cc	ET
Moron	Nc	Moron
qui	Pr	QUI
courait	Vvc	COURIR
à	S	À
cheval	Nc	CHEVAL
devant	S	DEVANT
ma	Ds	MON
chaise	Nc	CHAISE
.	Fs	.
Tout-à-coup	Rg	Tout-à-coup
,	Fw	,
on	Pp	ON
tire	Vvc	TIRER
un	Dn	UN
coup	Nc	COUP
de	S	DE
pistolet	Nc	PISTOLET
,	Fw	,
les	Da	LE
chevaux	Nc	CHEVAL|CHEVAU|CHEVAUX
,	Fw	,
s'	Pp	SE
arrêtent	Vvc	ARRÊTER
,	Fw	,
le	Da	LE
postillon	Nc	POSTILLON
tombe	Vvc	TOMBER
;	Fw	;
et	Cc	ET
moi	Pp	JE
,	Fw	,
pour	S	POUR
venger	Vvn	VENGER
sa	Ds	SON
mort	Nc	MORT
,	Fw	,
autant	Rg	AUTANT
que	Cs	QUE
pour	S	POUR
défendre	Vvn	DÉFENDRE
ma	Ds	MON
vie	Nc	VIE
,	Fw	,
je	Pp	JE
saute	Vvc	SAUTER
soudain	Rg	SOUDAIN
sur	S	SUR
mes	Ds	MON
armes	Nc	ARME|ARMÉ
,	Fw	,
et	Cc	ET
je	Pp	JE
suis	Vuc	ÊTRE
assez	Rg	ASSEZ
heureux	Ag	HEUREUX
pour	S	POUR
vaincre	Vvn	VAINCRE
trois	Vvc	TRAIRE
hommes	Nc	HOMME
qui	Pr	QUI
nous	Pp	NOUS
avaient	Vuc	AVOIR
attaqué	Ge	ATTAQUER
tous	Di	TOUT
les	Da	LE
trois	Nc	TROIS
.	Fs	.
Eh	I	EH
quoi	Pr	QUE|QUOI
,	Fw	,
Prince	Vvc	Prince
?	Fs	?
Vous	Pp	VOUS
,	Fw	,
appelez	Vvc	APPELER
une	Dn	UN
misère	Nc	MISÈRE
,	Fw	,
un	Dn	UN
accident	Nc	ACCIDENT
qui	Pr	QUI
a	Vuc	AVOIR
si	Rg	SI
fort	Rg	FORT
exposé	Ge	EXPOSER
vos	Ds	VOTRE
jours	Nc	JOUR|JOURS
!	Fs	!
Je	Pp	JE
devrais	Vvc	DEVOIR
sans	S	SANS
doute	Vvc	DOUTER
lui	Pp	IL
donner	Vvn	DONNER
un	Dn	UN
autre	Ag	AUTRE
nom	Nc	NOM
,	Fw	,
puisqu'il	Cs	puisqu'il
m'	Pp	JE
a	Vuc	AVOIR
procuré	Ge	PROCURER
le	Da	LE
bonheur	Nc	BONHEUR
de	S	DE
vous	Pp	VOUS
rencontrer	Vvn	RENCONTRER
,	Fw	,
et	Cc	ET
l'	Pp	IL
appeler	Vvn	APPELER
le	Da	LE
plus	Rg	PLUS
heureux	Ag	HEUREUX
de	S	DE
ma	Ds	MON
vie	Nc	VIE
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
j'	Pp	JE
ai	Vuc	AVOIR
satisfait	Ge	SATISFAIRE
votre	Ds	VOTRE
curiosité	Nc	CURIOSITÉ
autant	Rg	AUTANT
qu'	Cs	QUE
il	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
été	Ge	ÊTRE
possible	Ag	POSSIBLE
;	Fw	;
ne	Rp	NE
pourrais	Vvc	POUVOIR
-je	Vvn	-je
savoir	Vvn	SAVOIR
à	S	À
mon	Ds	MON
tour	Nc	TOUR
,	Fw	,
quel	Dt	QUEL
événement	Nc	ÉVÉNEMENT
singulier	Ag	SINGULIER
vous	Pp	VOUS
a	Vuc	AVOIR
fait	Ge	FAIRE
si	Rg	SI
tôt	Rg	TÔT
revenir	Vvn	REVENIR
d'	S	DE
Italie	Nc	Italie
?	Fs	?
Hélas	Vvc	Hélas
!	Fs	!
Prince	Nc	PRINCE
!	Fs	!
Que	Cs	QUE
me	Pp	JE
demandez	Vvc	DEMANDER
-vous	Nc	-vous
?	Fs	?
Le	Da	LE
récit	Nc	RÉCIT
que	Pr	QUE
vous	Pp	VOUS
venez	Vvc	VENIR
de	S	DE
faire	Vvn	FAIRE
,	Fw	,
m'	Pp	JE
a	Vuc	AVOIR
saisie	Ge	SAISIR
au	S+Da	À+LE
point	Rg	POINT
que	Cs	QUE
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
plus	Rg	PLUS
la	Da	LE
force	Nc	FORCE|FORCÉ
de	S	DE
rien	Pi	RIEN
dire	Vvn	DIRE
.	Fs	.
Je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
vous	Pp	VOUS
voir	Vvn	VOIR
au	S+Da	À+LE
milieu	Nc	MILIEU
de	S	DE
ces	Dd	CE
bandits	Nc	BANDIT
:	Fw	:
je	Pp	JE
les	Pp	ILS
vois	Vvc	ALLER|VOIR
lever	Vvn	LEVER
sur	S	SUR
vous	Pp	VOUS
une	Dn	UN
main	Nc	MAIN
meurtrière	Ag	MEURTRIER
:	Fw	:
je	Pp	JE
vois	Vvc	ALLER|VOIR
ruisseler	Vvn	RUISSELER
le	Da	LE
sang	Nc	SANG
de	S	DE
ce	Dd	CE
malheureux	Ag	MALHEUREUX
postillon	Nc	POSTILLON
.	Fs	.
Vous	Pp	VOUS
ne	Rp	NE
voyez-pas	Vvc	voyez-pas
tout	Pi	TOUT
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
le	Da	LE
Prince	Nc	PRINCE
ne	Rp	NE
vous	Pp	VOUS
a	Vuc	AVOIR
dit	Ge	DIRE
que	Cs	QUE
la	Da	LE
moitié	Nc	MOITIÉ
des	S+Da	DE+LE|DE+LES
choses	Nc	CHOSE
.	Fs	.
Ah	I	AH
!	Fs	!
Si	Cs	SI
vous	Pp	VOUS
saviez	Vvc	SAVOIR
pu	Ge	POUVOIR
,	Fw	,
comme	Cs	COMME
moi	Pp	JE
,	Fw	,
le	Da	LE
contempler	Nc	CONTEMPLER
au	S+Da	À+LE
moment	Nc	MOMENT
de	S	DE
la	Da	LE
bataille	Nc	BATAILLE
...	Fs	...
Quels	Vvc	Quels
coups	Nc	COUP
il	Pp	IL
a	Vuc	AVOIR
portés	Ge	PORTER
!	Fs	!
Quelle	Dt	QUEL
valeur	Nc	VALEUR
!	Fs	!
Quel	Dt	QUEL
courage	Nc	COURAGE
!	Fs	!
Comme	S	COMME
son	Ds	SON
front	Nc	FRONT
était	Vuc	ÊTRE
calme	Ag	CALME
,	Fw	,
et	Cc	ET
cependant	Rg	CEPENDANT
terrible	Ag	TERRIBLE
!	Fs	!
Comme	Cs	COMME
il	Pp	IL
sortait	Vvc	SORTIR
de	S	DE
ses	Ds	SON
yeux	Nc	OEIL|YEUX
des	S+Da	DE+LE|DE+LES
éclairs	Nc	ÉCLAIR
et	Cc	ET
des	S+Da	DE+LE|DE+LES
flammes	Nc	FLAMME
,	Fw	,
et	Cc	ET
comme	S	COMME
sa	Ds	SON
main	Nc	MAIN
paraissait	Vvc	PARAÎTRE
brandir	Vvn	BRANDIR
le	Da	LE
tonnerre	Nc	TONNERRE
!	Fs	!
Tais	Vvc	TAIRE
-toi	Vvc	-toi
,	Fw	,
et	Cc	ET
ne	Rp	NE
t'	Pp	TU
avise	Vvc	AVISER
plus	Rg	PLUS
d'	S	DE
interrompre	Vvn	INTERROMPRE
Madame	Nc	MADAME
?	Fs	?
À	Vvc	À
Milady	Nc	MILADY
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
touché	Ge	TOUCHER
et	Cc	ET
reconnaissant	Ga	RECONNAÎTRE
de	S	DE
l'	Da	LE
intérêt	Nc	INTÉRÊT
que	Pr	QUE
je	Pp	JE
vous	Pp	VOUS
inspire	Vvc	INSPIRER
;	Fw	;
mais	Cc	MAIS
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
le	Da	LE
danger	Nc	DANGER
est	Vuc	ÊTRE
passé	Ge	PASSER
.	Fs	.
Calmez	Vvc	CALMER
vos	Ds	VOTRE
sens	Nc	SENS
,	Fw	,
et	Cc	ET
permettez	Vvc	PERMETTRE
que	Cs	QUE
je	Pp	JE
vous	Pp	VOUS
renouvelle	Vvc	RENOUVELER
ma	Ds	MON
demande	Nc	DEMANDE|DEMANDÉ
.	Fs	.
Comment	Rt	COMMENT
,	Fw	,
et	Cc	ET
pour	S	POUR
quelles	Dt	QUEL
raisons	Nc	RAISON
ai	Vuc	AVOIR
-je	Ge	-je
eu	Ge	AVOIR
le	Da	LE
bonheur	Nc	BONHEUR
de	S	DE
vous	Pp	VOUS
rencontrer	Vvn	RENCONTRER
ici	Rg	ICI
?	Fs	?
Vos	Ds	VOTRE
affaires	Nc	AFFAIRE|AFFAIRÉ
ont	Vuc	AVOIR
elles	Pp	ILS
pris	Vvc	PRENDRE
une	Dn	UN
face	Nc	FACE
nouvelle	Ag	NOUVEAU
?	Fs	?
Milord	Nc	MILORD
Bruman	Ag	Bruman
,	Fw	,
votre	Ds	VOTRE
père	Nc	PÈRE
...	Fs	...
.	Fs	.
Félicitez	Nc	Félicitez
-moi	Vvc	-moi
,	Fw	,
Prince	Vvc	Prince
.	Fs	.
Il	Pp	IL
avait	Vuc	AVOIR
été	Ge	ÊTRE
disgracié	Ge	DISGRACIER
quoiqu'il	Nc	quoiqu'il
eût	Vuc	AVOIR
pour	S	POUR
lui	Pp	IL
les	Da	LE
deux	Nc	DEUX
tiers	Nc	TIERS
des	S+Da	DE+LE|DE+LES
membres	Nc	MEMBRE
de	S	DE
la	Da	LE
Chambre-Basse	Vvc	Chambre-Basse
:	Fw	:
il	Pp	IL
s'	Pp	SE
était	Vuc	ÊTRE
démis	Ge	DÉMETTRE
de	S	DE
sa	Ds	SON
charge	Nc	CHARGE|CHARGÉ
entre	S	ENTRE
les	Da	LE
mains	Nc	MAIN
du	S+Da	DE+LE
Roi	Nc	ROI
;	Fw	;
et	Cc	ET
depuis	S	DEPUIS
trois	Nc	TROIS
semaines	Nc	SEMAINE
rétabli	Ge	RÉTABLIR
dans	S	DANS
tous	Di	TOUT
ses	Ds	SON
honneurs	Nc	HONNEUR
,	Fw	,
il	Pp	IL
a	Vuc	AVOIR
été	Ge	ÊTRE
nommé	Ge	NOMMER
Vice-roi	Vvc	Vice-roi
d'	S	DE
Irlande	Nc	Irlande
.	Fs	.
L'	Da	LE
innocence	Nc	INNOCENCE
a	Vuc	AVOIR
triomphé	Ge	TRIOMPHER
de	S	DE
l'	Da	LE
imposture	Nc	IMPOSTURE
et	Cc	ET
de	S	DE
l'	Da	LE
envie	Nc	ENVIE
:	Fw	:
il	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
écrit	Ge	ÉCRIRE
à	S	À
Pise	Nc	PISÉ
,	Fw	,
où	Pr	OÙ
des	Dn	UN
raisons	Nc	RAISON
de	S	DE
santé	Nc	SANTÉ
m'	Pp	JE
avaient	Vuc	AVOIR
conduite	Nc	CONDUITE
;	Fw	;
je	Pp	JE
vais	Vvc	ALLER
à	S	À
Londres	Nc	LONDRÈS
,	Fw	,
me	Pp	JE
jeter	Vvn	JETER
dans	S	DANS
ses	Ds	SON
bras	Nc	BRAS
,	Fw	,
et	Cc	ET
répandre	Vvn	RÉPANDRE
dans	S	DANS
son	Ds	SON
sein	Nc	SEIN
les	Da	LE
larmes	Nc	LARME
de	S	DE
joie	Nc	JOIE
que	Pr	QUE
je	Pp	JE
retiens	Vvc	RETENIR
à	S	À
peine	Nc	PEINE
.	Fs	.
Ah	I	AH
!	Fs	!
Madame	Nc	MADAME
!	Fs	!
Voyez	Vvc	VOIR
les	Da	LE
miennes	Ps	MIEN
:	Fw	:
voyez	Vvc	VOIR
l'	Da	LE
enchantement	Nc	ENCHANTEMENT
où	Pr	OÙ
me	Pp	JE
jette	Vvc	JETER
votre	Ds	VOTRE
félicité	Nc	FÉLICITÉ
.	Fs	.
Vous	Pp	VOUS
savez	Vvc	SAVOIR
combien	Rg	COMBIEN
j'	Pp	JE
honore	Vvc	HONORER
votre	Ds	VOTRE
digne	Ag	DIGNE
père	Nc	PÈRE
;	Fw	;
combien	Rg	COMBIEN
je	Pp	JE
vous	Pp	VOUS
révère	Vvc	RÉVÉRER
tous	Di	TOUT
deux	Nc	DEUX
;	Fw	;
mais	Cc	MAIS
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
vous	Pp	VOUS
devez	Vvc	DEVOIR
un	Dn	UN
prix	Nc	PRIX
à	S	À
des	Dn	UN
sentiments	Nc	SENTIMENT
plus	Rg	PLUS
tendres	Ag	TENDRE
:	Fw	:
que	Pr	QUE
dis	Vvc	DIRE
-je	Nc	-je
!	Fs	!
À	Vvc	À
l'	Da	LE
ardeur	Nc	ARDEUR
la	Da	LE
plus	Rg	PLUS
vive	Ag	VIF
,	Fw	,
à	S	À
une	Dn	UN
passion	Nc	PASSION
que	Pr	QUE
vous	Pp	VOUS
seule	Ag	SEUL
avez	Vuc	AVOIR
fait	Ge	FAIRE
naître	Vvn	NAÎTRE
.	Fs	.
Ces	Dd	CE
sentiments	Nc	SENTIMENT
me	Pp	JE
sont	Vuc	ÊTRE
connus	Vvc	CONNAÎTRE
,	Fw	,
ils	Pp	ILS
me	Pp	JE
sont	Vuc	ÊTRE
chers	Ag	CHER
;	Fw	;
mon	Ds	MON
père	Nc	PÈRE
même	Ag	MÊME
les	Pp	ILS
a	Vuc	AVOIR
approuvés	Ge	APPROUVER
;	Fw	;
mais	Cc	MAIS
si	Cs	SI
depuis	S	DEPUIS
son	Ds	SON
changement	Nc	CHANGEMENT
de	S	DE
fortune	Nc	FORTUNE
,	Fw	,
il	Pp	IL
avait	Vuc	AVOIR
été	Ge	ÊTRE
forcé	Ge	FORCER
de	S	DE
prendre	Vvn	PRENDRE
d'	Dn	UN
autres	Ag	AUTRE
arrangements	Nc	ARRANGEMENT
...	Fs	...
Les	Vvc	Les
faveurs	Nc	FAVEUR
de	S	DE
l'	Da	LE
aveugle	Ag	AVEUGLE
Déesse	Nc	Déesse
ne	Rp	NE
s'	Pp	SE
obtiennent	Vvc	OBTENIR
quelquefois	Rg	QUELQUEFOIS
qu'	Cs	QUE
à	S	À
des	Dn	UN
conditions	Nc	CONDITION
bien	Rg	BIEN
cruelles	Ag	CRUEL
.	Fs	.
Ce	Dd	CE
père	Nc	PÈRE
est	Vuc	ÊTRE
si	Rg	SI
bon	Ag	BON
,	Fw	,
si	Rg	SI
généreux	Ag	GÉNÉREUX
,	Fw	,
si	Rg	SI
tendre	Ag	TENDRE
!	Fs	!
Quoique	Cs	QUOIQUE
veuve	Nc	VEUF|VEUVE
,	Fw	,
et	Cc	ET
pouvant	Ga	POUVOIR
disposer	Vvn	DISPOSER
de	S	DE
moi	Pp	JE
,	Fw	,
il	Pp	IL
me	Pp	JE
serait	Vuc	ÊTRE
affreux	Ag	AFFREUX
de	S	DE
lui	Pp	IL
déplaire	Vvn	DÉPLAIRE
.	Fs	.
Quelle	Dt	QUEL
raison	Nc	RAISON
pouvait-il	Vvc	pouvait-il
avoir	Vun	AVOIR
de	S	DE
vous	Pp	VOUS
arracher	Vvn	ARRACHER
à	S	À
mes	Ds	MON
plus	Rg	PLUS
doux	Ag	DOUX
voeux	Nc	VU
!	Fs	!
Ni	Cc	NI
lui	Pp	IL
,	Fw	,
ni	Cc	NI
vous	Pp	VOUS
,	Fw	,
n'	Rp	NE
avez	Vuc	AVOIR
rejeté	Ge	REJETER
mes	Ds	MON
hommages	Nc	HOMMAGE
dans	S	DANS
le	Da	LE
temps	Nc	TEMPS
que	Pr	QUE
je	Pp	JE
vous	Pp	VOUS
les	Pp	ILS
ai	Vuc	AVOIR
offerts	Ge	OFFRIR
.	Fs	.
Sans	S	SANS
la	Da	LE
disgrâce	Nc	DISGRÂCE
même	Ag	MÊME
où	Pr	OÙ
il	Pp	IL
est	Vuc	ÊTRE
tombé	Ge	TOMBER
,	Fw	,
déjà	Rg	DÉJÀ
je	Pp	JE
serais	Vuc	ÊTRE
votre	Ds	VOTRE
époux	Nc	ÉPOUX
,	Fw	,
et	Cc	ET
le	Da	LE
plus	Rg	PLUS
fortuné	Ag	FORTUNÉ
des	S+Da	DE+LE|DE+LES
mortels	Nc	MORTEL
.	Fs	.
Vous	Pp	VOUS
m'	Pp	JE
avez	Vuc	AVOIR
condamné	Ge	CONDAMNER
à	S	À
ne	Rp	NE
point	Rg	POINT
le	Pp	IL
devenir	Vvn	DEVENIR
,	Fw	,
lorsqu'	Cs	LORSQUE
il	Pp	IL
était	Vuc	ÊTRE
dans	S	DANS
la	Da	LE
douleur	Nc	DOULEUR
.	Fs	.
Cela	Pd	CELA
est	Vuc	ÊTRE
vrai	Ag	VRAI
:	Fw	:
mais	Cc	MAIS
enfin	Rg	ENFIN
,	Fw	,
si	Cs	SI
les	Da	LE
circonstances	Nc	CIRCONSTANCE
forçaient	Vvc	FORCER
mon	Ds	MON
père	Nc	PÈRE
à	S	À
retirer	Vvn	RETIRER
sa	Ds	SON
parole	Nc	PAROLE
,	Fw	,
quel	Dt	QUEL
parti	Nc	PARTI
prendriez	Vvc	PRENDRE
-vous	Nc	-vous
alors	Rg	ALORS
?	Fs	?
Ah	I	AH
!	Fs	!
Madame	Nc	MADAME
!	Fs	!
Quelle	Dt	QUEL
question	Nc	QUESTION
vous	Pp	VOUS
me	Pp	JE
faites	Vvc	FAIRE
?	Fs	?
Répondez	Vvc	Répondez
-y	Vvc	-y
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
prie	Vvc	PRIER
.	Fs	.
Vous	Pp	VOUS
l'	Pp	IL
ordonnez	Vvc	ORDONNER
?	Fs	?
Eh	I	EH
bien	Rg	BIEN
!	Fs	!
Madame	Nc	MADAME
,	Fw	,
je	Pp	JE
chercherais	Vvc	CHERCHER
partout	Rg	PARTOUT
les	Da	LE
brigands	Nc	BRIGAND
que	Pr	QUE
je	Pp	JE
viens	Vvc	VENIR
de	S	DE
mettre	Vvn	METTRE
en	S	EN
fuite	Nc	FUITE
;	Fw	;
et	Cc	ET
si	Cs	SI
j'	Pp	JE
avais	Vuc	AVOIR
le	Da	LE
bonheur	Nc	BONHEUR
de	S	DE
les	Pp	ILS
découvrir	Vvn	DÉCOUVRIR
,	Fw	,
je	Pp	JE
leur	Pp	LEUR
dirais	Vvc	DIRE
:	Fw	:
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
renonce	Vvc	RENONCER
à	S	À
Milady	Nc	MILADY
Semours	Nc	Semours
:	Fw	:
tuez	Nc	TUÉ
-moi	Vvc	-moi
,	Fw	,
mes	Ds	MON
amis	Nc	AMI
,	Fw	,
tuez	Nc	TUÉ
-moi	Vvc	-moi
:	Fw	:
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
plus	Rg	PLUS
besoin	Nc	BESOIN
de	S	DE
la	Da	LE
vie	Nc	VIE
:	Fw	:
et	Cc	ET
s'	Cs	SI
ils	Pp	ILS
n'	Rp	NE
avaient	Vuc	AVOIR
point	Rg	POINT
pitié	Nc	PITIÉ
de	S	DE
mon	Ds	MON
malheur	Nc	MALHEUR
,	Fw	,
je	Pp	JE
saurais	Vvc	SAURER|SAVOIR
prévenir	Vvn	PRÉVENIR
leurs	Ds	LEUR
coups	Nc	COUP
,	Fw	,
je	Pp	JE
saurais	Vvc	SAURER|SAVOIR
...	Fs	...
C'	Vvc	C'
en	Pp	EN
est	Vuc	ÊTRE
trop	Rg	TROP
.	Fs	.
Cette	Dd	CE
lettre	Nc	LETTRE|LETTRÉ
est	Vuc	ÊTRE
de	S	DE
mon	Ds	MON
père	Nc	PÈRE
.	Fs	.
Lisez	Vvc	LIRE
,	Fw	,
Prince	Vvc	Prince
,	Fw	,
lisez	Vvc	LIRE
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
mon	Ds	MON
arrêt	Nc	ARRÊT
,	Fw	,
peut-être	Rg	PEUT-ÊTRE
;	Fw	;
mais	Cc	MAIS
n'	Rp	NE
importe	Vvc	IMPORTER
,	Fw	,
lisons	Vvc	LIRE
.	Fs	.
«	Fw	«
Apprenez	Vvc	APPRENDRE
,	Fw	,
ma	Ds	MON
fille	Nc	FILLE
,	Fw	,
qu'	Cs	QUE
enfin	Rg	ENFIN
la	Da	LE
vérité	Nc	VÉRITÉ
s'	Pp	SE
est	Vuc	ÊTRE
fait	Ge	FAIRE
entendre	Vvn	ENTENDRE
,	Fw	,
et	Cc	ET
que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
rentré	Ge	RENTRER
dans	S	DANS
tous	Di	TOUT
mes	Ds	MON
droits	Nc	DROIT|DROITS
;	Fw	;
mais	Cc	MAIS
mon	Ds	MON
bonheur	Nc	BONHEUR
serait	Vuc	ÊTRE
imparfait	Ag	IMPARFAIT
sans	S	SANS
le	Da	LE
vôtre	As#Ps	VÔTRE
.	Fs	.
Vous	Pp	VOUS
aimez	Vvc	AIMER
le	Da	LE
Prince	Ag	Prince
Salvator	Nc	Salvator
,	Fw	,
il	Pp	IL
vous	Pp	VOUS
a	Vuc	AVOIR
offert	Ge	OFFRIR
sa	Ds	SON
main	Nc	MAIN
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
invite	Vvc	INVITER
à	S	À
l'	Pp	IL
accepter	Vvn	ACCEPTER
,	Fw	,
nous	Pp	NOUS
célébrerons	Vvc	CÉLÉBRER
ce	Dd	CE
mariage	Nc	MARIAGE
à	S	À
votre	Ds	VOTRE
retour	Nc	RETOUR
à	S	À
Londres	Nc	LONDRÈS
;	Fw	;
croyez	Vvc	CROIRE
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
fille	Nc	FILLE
,	Fw	,
que	Cs	QUE
ma	Ds	MON
joie	Nc	JOIE
sera	Vuc	ÊTRE
égale	Vvc	ÉGALER
à	S	À
la	Da	LE
vôtre	As#Ps	VÔTRE
»	Fw	»
.	Fs	.
Ô	Vvc	Ô
bonheur	Nc	BONHEUR
!	Fs	!
Eh	I	EH
quoi	Pt	QUE|QUOI
!	Fs	!
Madame	Nc	MADAME
!	Fs	!
Vous	Pp	VOUS
avez	Vuc	AVOIR
donc	Rg	DONC
voulu	Ge	VOULOIR
m'	Pp	JE
éprouver	Vvn	ÉPROUVER
?	Fs	?
Oui	Rg	OUI
,	Fw	,
Prince	Vvc	Prince
,	Fw	,
pardonnez	Vvc	PARDONNER
-moi	Vvc	-moi
ce	Dd	CE
stratagème	Nc	STRATAGÈME
:	Fw	:
en	S	EN
me	Pp	JE
faisant	Ga	FAIRE
lire	Vvn	LIRE
dans	S	DANS
votre	Ds	VOTRE
âme	Nc	ÂME
,	Fw	,
il	Pp	IL
tourne	Vvc	TOURNER
à	S	À
votre	Ds	VOTRE
avantage	Nc	AVANTAGE
et	Cc	ET
au	S+Da	À+LE
profit	Nc	PROFIT
de	S	DE
notre	Ds	NOTRE
amour	Nc	AMOUR
.	Fs	.
Allons	Vvc	ALLER
trouver	Vvn	TROUVER
mon	Ds	MON
oncle	Nc	ONCLE
,	Fw	,
il	Pp	IL
ne	Rp	NE
savait	Vvc	SAVOIR
pas	Rg	PAS
mon	Ds	MON
projet	Nc	PROJET
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
l'	Pp	IL
en	S	EN
instruire	Vvn	INSTRUIRE
.	Fs	.
Prions	Vvc	PRIER
le	Pp	IL
de	S	DE
nous	Pp	NOUS
conduire	Vvn	CONDUIRE
à	S	À
Londres	Nc	LONDRÈS
,	Fw	,
et	Cc	ET
jetons-nous	Vvc	jetons-nous
,	Fw	,
sous	S	SOUS
ses	Ds	SON
auspices	Nc	AUSPICE
,	Fw	,
dans	S	DANS
les	Da	LE
bras	Nc	BRAS
d'	S	DE
un	Dn	UN
père	Nc	PÈRE
qui	Pr	QUI
nous	Pp	NOUS
attend	Vvc	ATTENDRE
.	Fs	.
Allons	Vvc	ALLER
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
je	Pp	JE
brûle	Vvc	BRÛLER
de	S	DE
m'	Pp	JE
y	Pp	Y
rendre	Vvn	RENDRE
avec	S	AVEC
vous	Pp	VOUS
,	Fw	,
et	Cc	ET
de	S	DE
m'	Pp	JE
allier	Vvn	ALLIER
avec	S	AVEC
un	Dn	UN
homme	Nc	HOMME
si	Rg	SI
estimable	Ag	ESTIMABLE
.	Fs	.
Moron	Nc	Moron
