Cela	Pd	CELA
et	Cc	ET
destinée	Ge	DESTINER
sans	S	SANS
vanité	Nc	VANITÉ
à	S	À
des	Dn	UN
distinctions	Nc	DISTINCTION
qui	Pr	QUI
ne	Rp	NE
vous	Pp	VOUS
permettront	Vvc	PERMETTRE
pas	Rg	PAS
avec	S	AVEC
moi	Pp	JE
tant	Rg	TANT
de	S	DE
familiarités	Nc	FAMILIARITÉ
que	Pr	QUE
vous	Pp	VOUS
vous	Pp	VOUS
en	Pp	EN
donnez	Vvc	DONNER
quelquefois	Rg	QUELQUEFOIS
.	Fs	.
Vous	Pp	VOUS
êtes	Vuc	ÊTRE
destinée	Ge	DESTINER
à	S	À
devenir	Vvn	DEVENIR
tout	Pi	TOUT
à	S	À
fait	Nc	FAIT
folle	Ag	FOU
,	Fw	,
si	Cs	SI
vous	Pp	VOUS
n’y	Vvc	n’y
prenez	Vvc	PRENDRE
garde	Nc	GARDE
.	Fs	.
Écoutez	Nc	Écoutez
,	Fw	,
Madame	Nc	MADAME
ma	Ds	MON
belle-sœur	Nc	belle-sœur
,	Fw	,
il	Pp	IL
se	Pp	IL
présente	Vvc	PRÉSENTER
une	Dn	UN
occasion	Nc	OCCASION
de	S	DE
vous	Pp	VOUS
donner	Vvn	DONNER
un	Dn	UN
mari	Nc	MARI
fort	Rg	FORT
riche	Ag	RICHE
et	Cc	ET
fort	Rg	FORT
honnête	Ag	HONNÊTE
homme	Nc	HOMME
:	Fw	:
si	Cs	SI
vous	Pp	VOUS
ne	Rp	NE
l’épousez	Vvc	l’épousez
,	Fw	,
vous	Pp	VOUS
pouvez	Vvc	POUVOIR
compter	Vvn	COMPTER
que	Cs	QUE
je	Pp	JE
ne	Rp	NE
vous	Pp	VOUS
verrai	Vvc	VOIR
de	S	DE
ma	Ds	MON
vie	Nc	VIE
.	Fs	.
Vous	Pp	VOUS
devez	Vvc	DEVOIR
bien	Rg	BIEN
aussi	Rg	AUSSI
vous	Pp	VOUS
attendre	Vvn	ATTENDRE
,	Fw	,
quand	Cs	QUAND
je	Pp	JE
serai	Vuc	ÊTRE
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
Procureur	Nc	PROCUREUR
,	Fw	,
que	Cs	QUE
nous	Pp	NOUS
n’aurons	Vvc	n’aurons
pas	Rg	PAS
grand	Ag	GRAND
commerce	Nc	COMMERCE
ensemble	Rg	ENSEMBLE
.	Fs	.
Comment	Rt	COMMENT
Comtesse	Nc	COMTE|COMTESSE
!	Fs	!
Allez	I	ALLEZ
,	Fw	,
vous	Pp	VOUS
êtes	Vuc	ÊTRE
folle	Ag	FOU
.	Fs	.
Je	Pp	JE
débute	Vvc	DÉBUTER
par	S	PAR
là	Rg	LÀ
,	Fw	,
c’est	Nc	c’est
assez	Rg	ASSEZ
pour	S	POUR
un	Dn	UN
commencement	Nc	COMMENCEMENT
:	Fw	:
mais	Cc	MAIS
cela	Pd	CELA
augmentera	Vvc	AUGMENTER
dans	S	DANS
la	Da	LE
suite	Nc	SUITE
;	Fw	;
et	Cc	ET
de	S	DE
mari	Nc	MARI
en	S	EN
mari	Nc	MARI
,	Fw	,
de	S	DE
douaire	Nc	DOUAIRE
en	S	EN
douaire	Nc	DOUAIRE
,	Fw	,
je	Pp	JE
ferai	Vvc	FAIRE|FERRER
mon	Ds	MON
chemin	Nc	CHEMIN
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
réponds	Vvc	RÉPONDRE
et	Cc	ET
le	Da	LE
plus	Rg	PLUS
brusquement	Rg	BRUSQUEMENT
qu’il	Nc	qu’il
me	Pp	JE
sera	Vuc	ÊTRE
possible	Ag	POSSIBLE
.	Fs	.
Il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
la	Pp	IL
faire	Vvn	FAIRE
enfermer	Vvn	ENFERMER
.	Fs	.
Holà	Vvc	Holà
ho	Nc	ho
,	Fw	,
laquais	Vvc	LAQUER
,	Fw	,
petit	Ag	PETIT
laquais	Nc	LAQUAIS
,	Fw	,
grand	Ag	GRAND
laquais	Nc	LAQUAIS
,	Fw	,
moyen	Nc	MOYEN
laquais	Vvc	LAQUER
,	Fw	,
qu’on	Nc	qu’on
prenne	Vvc	PRENDRE
ma	Ds	MON
queue	Nc	QUEUE
.	Fs	.
Avancez	Vvc	AVANCER
,	Fw	,
Cocher	Nc	COCHER|CÔCHER
,	Fw	,
montez	Vvc	MONTER
,	Fw	,
Madame	Nc	MADAME
.	Fs	.
Après	Vvc	Après
vous	Pp	VOUS
,	Fw	,
Madame	Nc	MADAME
:	Fw	:
hé	I	HÉ
non	Rg	NON
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
c’est	Nc	c’est
mon	Ds	MON
carrosse	Nc	CARROSSE
.	Fs	.
Donnez	Vvc	DONNER
-moi	Vvc	-moi
la	Da	LE
main	Nc	MAIN
,	Fw	,
Chevalier	Vvc	Chevalier
,	Fw	,
mettez	Vvc	METTRE
-vous	Nc	-vous
-là	Vvc	-là
,	Fw	,
Comtin	Nc	Comtin
,	Fw	,
touche	Nc	TOUCHE
,	Fw	,
Cocher	Nc	COCHER|CÔCHER
.	Fs	.
La	Da	LE
jolie	Ag	JOLI
chose	Nc	CHOSE
qu’un	Vvc	qu’un
équipage	Nc	ÉQUIPAGE
!	Fs	!
La	Da	LE
jolie	Ag	JOLI
chose	Nc	CHOSE
qu’un	Vvc	qu’un
équipage	Nc	ÉQUIPAGE
!	Fs	!
Voilà	Vvc	Voilà
un	Dn	UN
équipage	Nc	ÉQUIPAGE
qui	Pr	QUI
la	Pp	IL
mènera	Vvc	MENER
aux	S+Da	À+LES
Petites-Maisons	Nc	Petites-Maisons
.	Fs	.
Elle	Pp	IL
a	Vuc	AVOIR
tout	Pi	TOUT
à	S	À
fait	Nc	FAIT
perdu	Ge	PERDRE
l’esprit	Vvc	l’esprit
,	Fw	,
Lisette	Nc	LISETTE
;	Fw	;
je	Pp	JE
vais	Vvc	ALLER
me	Pp	JE
hâter	Vvn	HÂTER
d’une	Nc	d’une
manière	Nc	MANIÈRE
ou	Cc	OU
d’une	Nc	d’une
autre	Ag	AUTRE
,	Fw	,
de	S	DE
la	Pp	IL
faire	Vvn	FAIRE
au	S+Da	À+LE
plutôt	Rg	PLUTÔT
déloger	Vvn	DÉLOGER
de	S	DE
chez	S	CHEZ
moi	Pp	JE
,	Fw	,
pour	S	POUR
ne	Rp	NE
pas	Rg	PAS
donner	Vvn	DONNER
à	S	À
ma	Ds	MON
femme	Nc	FEMME
un	Dn	UN
exemple	Nc	EXEMPLE
aussi	Rg	AUSSI
ridicule	Ag	RIDICULE
que	Cs	QUE
celui	Pd	CELUI
-là	Vvc	-là
.	Fs	.
Vous	Pp	VOUS
n’avez	Vvc	n’avez
rien	Pi	RIEN
à	S	À
craindre	Vvn	CRAINDRE
,	Fw	,
Monsieur	Nc	MONSIEUR
;	Fw	;
Madame	Nc	MADAME
votre	Ds	VOTRE
femme	Nc	FEMME
est	Vuc	ÊTRE
raisonnable	Ag	RAISONNABLE
,	Fw	,
elle	Pp	IL
ne	Rp	NE
tient	Vvc	TENIR
point	Rg	POINT
du	S+Da	DE+LE
tout	Pi	TOUT
de	S	DE
la	Da	LE
famille	Nc	FAMILLE
.	Fs	.
Elle	Pp	IL
est	Vuc	ÊTRE
raisonnable	Ag	RAISONNABLE
?	Fs	?
Assurément	Vvc	Assurément
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
devez	Vvc	DEVOIR
lui	Pp	IL
en	S	EN
savoir	Vvn	SAVOIR
bon	Ag	BON
gré	Nc	GRÉ
;	Fw	;
car	Cc	CAR
il	Pp	IL
ne	Rp	NE
tient	Vvc	TENIR
qu’à	Nc	qu’à
elle	Pp	IL
d’être	Vvc	d’être
aussi	Rg	AUSSI
folle	Ag	FOU
que	Cs	QUE
pas	Rg	PAS
une	Dn	UN
autre	Pi	AUTRE
:	Fw	:
elle	Pp	IL
a	Vuc	AVOIR
tous	Di	TOUT
les	Da	LE
talents	Nc	TALENT
qu’il	Nc	qu’il
faut	Vvc	FAILLIR|FALLOIR
pour	S	POUR
cela	Pd	CELA
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
réponds	Vvc	RÉPONDRE
.	Fs	.
Oh	I	OH
,	Fw	,
vraiment	Rg	VRAIMENT
,	Fw	,
je	Pp	JE
sais	Vvc	SAVOIR
bien	Rg	BIEN
qu’elle	Nc	qu’elle
les	Pp	ILS
a	Vuc	AVOIR
,	Fw	,
de	S	DE
par	S	PAR
tous	Di	TOUT
les	Da	LE
diables	Nc	DIABLE
,	Fw	,
et	Cc	ET
s’en	Nc	s’en
sert	Vvc	SERVIR
souvent	Rg	SOUVENT
,	Fw	,
c’est	Nc	c’est
le	Da	LE
pis	Nc	PIS
que	Pr	QUE
j’y	Vvc	j’y
trouve	Vvc	TROUVER
.	Fs	.
Paix	Nc	PAIX
,	Fw	,
taisez	Vvc	TAIRE
-vous	Nc	-vous
,	Fw	,
la	Da	LE
voilà	I	VOILÀ
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
ne	Rp	NE
la	Pp	IL
chagrinez	Vvc	CHAGRINER
point	Rg	POINT
.	Fs	.
À	Nc	À
quoi	Pr	QUE|QUOI
vous	Pp	VOUS
amusez	Vvc	AMUSER
-vous	Nc	-vous
donc	Rg	DONC
,	Fw	,
Mademoiselle	Vvc	Mademoiselle
Lisette	Nc	LISETTE
?	Fs	?
Il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
une	Dn	UN
heure	Nc	HEURE|HURE
que	Pr	QUE
je	Pp	JE
vous	Pp	VOUS
fais	Vvc	FAIRE
chercher	Vvn	CHERCHER
.	Fs	.
Allons	Vvc	ALLER
vite	Rg	VITE
,	Fw	,
mes	Ds	MON
coiffes	Nc	COIFFE
et	Cc	ET
mon	Ds	MON
écharpe	Nc	ÉCHARPE
.	Fs	.
Laquelle	Pr	LEQUEL
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
Celle	Pd	CELUI
à	S	À
réseau	Nc	RÉSEAU
ou	Cc	OU
celle	Pd	CELUI
à	S	À
frange	Nc	FRANGE
?	Fs	?
Non	Rg	NON
,	Fw	,
celle	Pd	CELUI
de	S	DE
gaze	Nc	GAZE|GAZÉ
ou	Cc	OU
celle	Pd	CELUI
de	S	DE
dentelle	Nc	DENTELLE
,	Fw	,
Mademoiselle	Vvc	Mademoiselle
Lisette	Nc	LISETTE
;	Fw	;
les	Da	LE
autres	Pi	AUTRE
sont	Vuc	ÊTRE
des	Dn	UN
housses	Nc	HOUSSE
,	Fw	,
des	S+Da	DE+LE|DE+LES
caparassons	Vvc	caparassons
qu’on	Nc	qu’on
ne	Rp	NE
saurait	Vvc	SAURER|SAVOIR
porter	Vvn	PORTER
.	Fs	.
Ah	I	AH
!	Fs	!
Vous	Pp	VOUS
voilà	S	VOILÀ
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
je	Pp	JE
suis	Vuc	ÊTRE
bien	Rg	BIEN
aise	Ag	AISE|AISÉ
de	S	DE
vous	Pp	VOUS
trouver	Vvn	TROUVER
icI	I	icI
.	Fs	.
Donnez	Vvc	DONNER
-moi	Vvc	-moi
de	S	DE
l’argent	Vvc	l’argent
,	Fw	,
je	Pp	JE
n’en	Nc	n’en
ai	Vuc	AVOIR
plus	Rg	PLUS
.	Fs	.
De	S	DE
l’argent	Vvc	l’argent
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
Vous	Pp	VOUS
aviez	Vuc	AVOIR
hier	Rg	HIER
vingt-cinq	Ag	vingt-cinq
louis	Nc	LOUIS
d’or	Nc	d’or
.	Fs	.
Cela	Pd	CELA
est	Vuc	ÊTRE
vrai	Ag	VRAI
,	Fw	,
Monsieur	Nc	MONSIEUR
.	Fs	.
J’ai	Vvc	J’ai
joué	Ge	JOUER
,	Fw	,
j’ai	Vvc	j’ai
perdu	Ge	PERDRE
,	Fw	,
j’ai	Vvc	j’ai
payé	Ge	PAYER
,	Fw	,
je	Pp	JE
n’ai	Vvc	n’ai
plus	Rg	PLUS
rien	Pi	RIEN
;	Fw	;
je	Pp	JE
vais	Vvc	ALLER
rejouer	Vvn	REJOUER
,	Fw	,
il	Pp	IL
m’en	Nc	m’en
faut	Vvc	FAILLIR|FALLOIR
d’autre	Nc	d’autre
en	S	EN
cas	Nc	CAS
que	Pr	QUE
je	Pp	JE
perde	Vvc	PERDRE
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
ma	Ds	MON
femme	Nc	FEMME
.	Fs	.
Hé	Vvc	Hé
fi	Rg	FI
donc	Rg	DONC
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
que	Cs	QUE
de	S	DE
façons	Nc	FAÇON
.	Fs	.
Au	S+Da	À+LE
lieu	Nc	LIEU
de	S	DE
me	Pp	JE
remercier	Vvn	REMERCIER
d’en	Nc	d’en
prendre	Vvn	PRENDRE
du	S+Da	DE+LE
vôtre	As#Ps	VÔTRE
.	Fs	.
Vous	Pp	VOUS
remercier	Vvn	REMERCIER
!	Fs	!
Oui	Rg	OUI
,	Fw	,
vraiment	Rg	VRAIMENT
,	Fw	,
c’est	Nc	c’est
un	Dn	UN
bien	Rg	BIEN
mal	Ag	MAL
acquis	Nc	ACQUIS|ACQUIT
qui	Pr	QUI
ne	Rp	NE
fait	Vvc	FAIRE
point	Rg	POINT
de	S	DE
profit	Nc	PROFIT
;	Fw	;
je	Pp	JE
perds	Vvc	PERDRE
tout	Pi	TOUT
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
joue	Vvc	JOUER
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
pourquoi	Rt	POURQUOI
jouer	Vvn	JOUER
,	Fw	,
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
?	Fs	?
Pourquoi	Rt	POURQUOI
jouer	Vvn	JOUER
,	Fw	,
Monsieur	Nc	MONSIEUR
?	Fs	?
Pourquoi	Rt	POURQUOI
jouer	Vvn	JOUER
?	Fs	?
Je	Pp	JE
vous	Pp	VOUS
trouve	Vvc	TROUVER
admirable	Ag	ADMIRABLE
.	Fs	.
Que	Pt	QUE
voulez	Vvc	VOULOIR
-vous	Nc	-vous
donc	Rg	DONC
qu’on	Nc	qu’on
fasse	Vvc	FAIRE
de	S	DE
mieux	Nc	MIEUX
,	Fw	,
et	Cc	ET
à	S	À
la	Da	LE
campagne	Nc	CAMPAGNE
surtout	Rg	SURTOUT
?	Fs	?
J’ai	Vvc	J’ai
la	Da	LE
complaisance	Nc	COMPLAISANCE
de	S	DE
venir	Vvn	VENIR
avec	S	AVEC
vous	Pp	VOUS
dans	S	DANS
une	Dn	UN
chaumière	Nc	CHAUMIÈRE
bourgeoise	Ag	BOURGEOIS
avec	S	AVEC
votre	Ds	VOTRE
ennuyeuse	Ag	ENNUYEUX
famille	Nc	FAMILLE
:	Fw	:
il	Pp	IL
se	Pp	IL
trouve	Vvc	TROUVER
par	S	PAR
hasard	Nc	HASARD
dans	S	DANS
le	Da	LE
Village	Nc	VILLAGE
des	S+Da	DE+LE|DE+LES
femmes	Nc	FEMME
d’esprit	Nc	d’esprit
,	Fw	,
des	S+Da	DE+LE|DE+LES
personnes	Nc	PERSONNE
du	S+Da	DE+LE
monde	Nc	MONDE
,	Fw	,
de	S	DE
jeunes	Ag	JEUNE
gens	Nc	GENS|GENT
polis	Vvc	POLIR
;	Fw	;
il	Pp	IL
se	Pp	IL
forme	Vvc	FORMER
une	Dn	UN
agréable	Ag	AGRÉABLE
société	Nc	SOCIÉTÉ
de	S	DE
plaisir	Nc	PLAISIR
et	Cc	ET
de	S	DE
bonne	Ag	BON
chère	Nc	CHÈRE
;	Fw	;
c’est	Nc	c’est
le	Da	LE
jeu	Nc	JEU
qui	Pr	QUI
est	Vuc	ÊTRE
l’âme	Vvc	l’âme
de	S	DE
toutes	Di	TOUT
ces	Dd	CE
parties	Nc	PARTIE|PARTY
:	Fw	:
et	Cc	ET
je	Pp	JE
ne	Rp	NE
jouerai	Vvc	JOUER
pas	Rg	PAS
?	Fs	?
Non	Rg	NON
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
ne	Rp	NE
comptez	Vvc	COMPTER
point	Rg	POINT
là-dessus	Rg	LÀ-DESSUS
,	Fw	,
et	Cc	ET
donnez	Vvc	DONNER
-moi	Vvc	-moi
de	S	DE
l’argent	Vvc	l’argent
,	Fw	,
s’il	Nc	s’il
vous	Pp	VOUS
plaît	Vvc	PLAIRE
,	Fw	,
ou	Cc	OU
j’en	Nc	j’en
emprunterai	Vvc	EMPRUNTER
:	Fw	:
mais	Cc	MAIS
ce	Pd	CE
sera	Vuc	ÊTRE
sur	S	SUR
votre	Ds	VOTRE
compte	Nc	COMPTE
.	Fs	.
Oh	I	OH
bien	Rg	BIEN
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
voilà	I	VOILÀ
encore	Rg	ENCORE
dix	Nc	DIX
louis	Nc	LOUIS
d’or	Nc	d’or
:	Fw	:
mais	Cc	MAIS
si	Cs	SI
vous	Pp	VOUS
les	Pp	ILS
perdez	Vvc	PERDRE
...	Fs	...
Si	Vvc	Si
je	Pp	JE
ne	Rp	NE
les	Pp	ILS
perds	Vvc	PERDRE
pas	Rg	PAS
je	Pp	JE
les	Pp	ILS
dépenserai	Vvc	DÉPENSER
,	Fw	,
ne	Rp	NE
vous	Pp	VOUS
mettez	Vvc	METTRE
pas	Rg	PAS
en	S	EN
peine	Nc	PEINE
.	Fs	.
À	Vvc	À
propos	Nc	PROPOS
,	Fw	,
c’est	Nc	c’est
aujourd’hui	Rg	aujourd’hui
la	Da	LE
fête	Nc	FÊTE
du	S+Da	DE+LE
Village	Nc	VILLAGE
,	Fw	,
nous	Pp	NOUS
sommes	Vuc	ÊTRE
les	Da	LE
plus	Rg	PLUS
considérables	Ag	CONSIDÉRABLE
,	Fw	,
on	Pp	ON
soupe	Vvc	SOUPER
ici	Rg	ICI
ce	Dd	CE
soir	Nc	SOIR
,	Fw	,
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
que	Cs	QUE
vous	Pp	VOUS
en	Pp	EN
êtes	Vuc	ÊTRE
bien	Rg	BIEN
et	Cc	ET
dûment	Rg	DÛMENT
averti	Ge	AVERTIR
?	Fs	?
...	Fs	...
Quoi	Vvc	Quoi
votre	Ds	VOTRE
dessein	Nc	DESSEIN
ridicule	Ag	RIDICULE
continue	Vvc	CONTINUER
,	Fw	,
et	Cc	ET
malgré	S	MALGRÉ
tout	Pi	TOUT
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
ai	Vuc	AVOIR
dit	Ge	DIRE
?	Fs	?
...	Fs	...
Ce	Vvc	Ce
sont	Vuc	ÊTRE
vos	Ds	VOTRE
discours	Nc	DISCOURS
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
vos	Ds	VOTRE
remontrances	Nc	REMONTRANCE
,	Fw	,
qui	Pr	QUI
ont	Vuc	AVOIR
achevé	Ge	ACHEVER
de	S	DE
me	Pp	JE
déterminer	Vvn	DÉTERMINER
.	Fs	.
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
,	Fw	,
vous	Pp	VOUS
me	Pp	JE
pousserez	Vvc	POUSSER
à	S	À
des	Dn	UN
extrémités	Nc	EXTRÉMITÉ
...	Fs	...
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
vous	Pp	VOUS
me	Pp	JE
ferez	Vvc	FAIRE|FERRER
faire	Vvn	FAIRE
des	Dn	UN
choses	Nc	CHOSE
...	Fs	...
Je	Vvc	Je
vous	Pp	VOUS
défie	Vvc	DÉFIER
,	Fw	,
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
de	S	DE
faire	Vvn	FAIRE
pis	Nc	PIS
que	Pr	QUE
vous	Pp	VOUS
faites	Vvc	FAIRE
.	Fs	.
Comment	Pt	COMMENT
donc	Rg	DONC
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
suis	Vuc	ÊTRE
-je	Ge	-je
une	Dn	UN
libertine	Nc	LIBERTIN
,	Fw	,
une	Dn	UN
coquette	Nc	COQUET|COQUETTE
?	Fs	?
Vous	Pp	VOUS
êtes	Vuc	ÊTRE
pis	Nc	PIS
que	Cs	QUE
tout	Di	TOUT
cela	Pd	CELA
,	Fw	,
Madame	Nc	MADAME
me	Pp	JE
femme	Nc	FEMME
.	Fs	.
Quelle	Dt	QUEL
extravagance	Nc	EXTRAVAGANCE
de	S	DE
rassembler	Vvn	RASSEMBLER
huit	Nc	HUIT
ou	Cc	OU
dix	Nc	DIX
femmes	Nc	FEMME
plus	Rg	PLUS
ridicules	Ag	RIDICULE
l’une	Nc	l’une
que	Pr	QUE
l’autre	Vvc	l’autre
,	Fw	,
qui	Pr	QUI
ne	Rp	NE
sont	Vuc	ÊTRE
assurément	Rg	ASSURÉMENT
pas	Rg	PAS
de	S	DE
vos	Ds	VOTRE
amies	Nc	AMI|AMIE
,	Fw	,
pour	S	POUR
leur	Pp	LEUR
donner	Vvn	DONNER
à	S	À
souper	Nc	SOUPER
?	Fs	?
Leur	Pp	LEUR
faire	Vvn	FAIRE
manger	Vvn	MANGER
notre	Ds	NOTRE
bien	Nc	BIEN
?	Fs	?
Que	Cs	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
l’âme	Vvc	l’âme
crasse	Ag	CRASSE
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
!	Fs	!
Que	Cs	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
l’âme	Vvc	l’âme
crasse	Ag	CRASSE
,	Fw	,
et	Cc	ET
que	Cs	QUE
vous	Pp	VOUS
savez	Vvc	SAVOIR
peu	Rg	PEU
vous	Pp	VOUS
faire	Vvn	FAIRE
valoir	Vvn	VALOIR
!	Fs	!
J’aime	Vvc	J’aime
à	S	À
paraître	Vvn	PARAÎTRE
,	Fw	,
moi	Pp	JE
,	Fw	,
c’est	Nc	c’est
là	Rg	LÀ
ma	Ds	MON
folie	Nc	FOLIE
.	Fs	.
Et	Cc	ET
vous	Pp	VOUS
devriez	Vvc	DEVOIR
vous	Pp	VOUS
cacher	Vvn	CACHER
d’être	Nc	d’être
si	Rg	SI
peu	Rg	PEU
raisonnable	Ag	RAISONNABLE
...	Fs	...
Vous	Nc	Vous
voyez	Vvc	VOIR
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
comme	Cs	COMME
vous	Pp	VOUS
vous	Pp	VOUS
révoltez	Vvc	RÉVOLTER
contre	S	CONTRE
le	Da	LE
souper	Nc	SOUPER
:	Fw	:
oh	I	OH
bien	Rg	BIEN
,	Fw	,
nous	Pp	NOUS
aurons	Vuc	AVOIR
les	Da	LE
violons	Nc	VIOLON
,	Fw	,
de	S	DE
la	Da	LE
musique	Nc	MUSIQUE
,	Fw	,
un	Dn	UN
petit	Ag	PETIT
concert	Nc	CONCERT
,	Fw	,
le	Da	LE
bal	Nc	BAL
,	Fw	,
et	Cc	ET
une	Dn	UN
espèce	Nc	ESPÈCE
d’Opéra	Vvc	d’Opéra
même	Rg	MÊME
,	Fw	,
si	Cs	SI
vous	Pp	VOUS
continuez	Vvc	CONTINUER
à	S	À
me	Pp	JE
contredire	Vvn	CONTREDIRE
.	Fs	.
Ah	I	AH
,	Fw	,
quel	Dt	QUEL
abandonnement	Nc	abandonnement
!	Fs	!
Quel	Dt	QUEL
désordre	Nc	DÉSORDRE
!	Fs	!
Mais	Cc	MAIS
quand	Cs	QUAND
vous	Pp	VOUS
seriez	Vuc	ÊTRE
la	Da	LE
femme	Nc	FEMME
d’un	Ag	d’un
Traitant	Ga	TRAITER
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
feriez	Vvc	FAIRE|FERRER
pas	Rg	PAS
plus	Rg	PLUS
d’impertinences	Nc	d’impertinences
.	Fs	.
C’est	Nc	C’est
ma	Ds	MON
sœur	Nc	sœur
qui	Pr	QUI
fait	Vvc	FAIRE
cette	Dd	CE
dépense	Nc	DÉPENSE
-là	Vvc	-là
,	Fw	,
ne	Rp	NE
vous	Pp	VOUS
chagrinez	Vvc	CHAGRINER
pas	Rg	PAS
.	Fs	.
La	Da	LE
malheureuse	Ag	MALHEUREUX
!	Fs	!
Voilà	Vvc	Voilà
votre	Ds	VOTRE
écharpe	Nc	ÉCHARPE
,	Fw	,
Madame	Nc	MADAME
.	Fs	.
Adieu	Nc	ADIEU
,	Fw	,
mon	Ds	MON
ami	Nc	AMI
,	Fw	,
appelez	Vvc	APPELER
Cascaret	Nc	Cascaret
qu’il	Nc	qu’il
vienne	Vvc	VENIR
porter	Vvn	PORTER
ma	Ds	MON
queue	Nc	QUEUE
.	Fs	.
Votre	Ds	VOTRE
queue	Nc	QUEUE
,	Fw	,
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
!	Fs	!
Vous	Pp	VOUS
,	Fw	,
vous	Pp	VOUS
faire	Vvn	FAIRE
porter	Vvn	PORTER
la	Da	LE
queue	Nc	QUEUE
?	Fs	?
Oui	Rg	OUI
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
moi-même	Pp	LUI-MÊME
,	Fw	,
puisque	Cs	PUISQUE
j’ai	Vvc	j’ai
eu	Ge	AVOIR
la	Da	LE
complaisance	Nc	COMPLAISANCE
de	S	DE
prendre	Vvn	PRENDRE
une	Dn	UN
queue	Nc	QUEUE
toute	Rg	TOUTE
unie	Ge	UNIR
,	Fw	,
je	Pp	JE
me	Pp	JE
la	Pp	IL
ferai	Vvc	FAIRE|FERRER
porter	Vvn	PORTER
,	Fw	,
s’il	Nc	s’il
vous	Pp	VOUS
plaît	Vvc	PLAIRE
,	Fw	,
pour	S	POUR
ne	Rp	NE
pas	Rg	PAS
figurer	Vvn	FIGURER
avec	S	AVEC
la	Da	LE
populace	Nc	POPULACE
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
ma	Ds	MON
femme	Nc	FEMME
...	Fs	...
Mais	Vvc	Mais
,	Fw	,
mon	Ds	MON
mari	Nc	MARI
,	Fw	,
point	Rg	POINT
de	S	DE
dispute	Nc	DISPUTE
.	Fs	.
Quantité	Vvc	Quantité
de	S	DE
bougies	Nc	BOUGIE
dans	S	DANS
la	Da	LE
salle	Nc	SALLE|SALÉ
,	Fw	,
et	Cc	ET
surtout	Rg	SURTOUT
,	Fw	,
que	Cs	QUE
le	Da	LE
couvert	Nc	COUVERT
soit	Vuc	ÊTRE
propre	Ag	PROPRE
,	Fw	,
Lisette	Nc	LISETTE
.	Fs	.
Oui	Rg	OUI
,	Fw	,
Madame	Nc	MADAME
.	Fs	.
Jasmin	Nc	JASMIN
et	Cc	ET
Cascaret	Nc	Cascaret
rinceront	Vvc	RINCER
les	Da	LE
verres	Nc	VERRE|VERRES
,	Fw	,
le	Da	LE
filleul	Nc	FILLEUL
et	Cc	ET
le	Da	LE
cousin	Nc	COUSIN
de	S	DE
Monsieur	Nc	MONSIEUR
verseront	Vvc	VERSER
à	S	À
boire	Vvn	BOIRE
,	Fw	,
et	Cc	ET
le	Da	LE
Maître	Nc	Maître
Clerc	Ag	Clerc
mettra	Vvc	METTRE
sur	S	SUR
table	Nc	TABLE
.	Fs	.
Mon	Ds	MON
Maître	Nc	Maître
Clerc	Vvc	Clerc
?	Fs	?
Il	Pp	IL
n’en	Nc	n’en
fera	Vvc	FAIRE|FERRER
rien	Pi	RIEN
.	Fs	.
Il	Pp	IL
le	Pp	IL
fera	Vvc	FAIRE|FERRER
,	Fw	,
mon	Ds	MON
